ref_count,n2_year,n2,n1,n1_year
12,2021,180,180,2014
11,2021,180,180,2016
32,2021,180,180,2020
5,2021,180,2381,2019
5,2021,180,5109,2018
7,2021,180,3064,2020
24,2021,180,180,2017
5,2012,183,183,2011
6,2013,183,183,2012
5,2013,183,183,2011
16,2014,183,183,2013
5,2014,183,183,2014
5,2014,183,868,2012
7,2014,183,183,2012
20,2015,183,183,2015
6,2015,183,183,2011
23,2015,183,183,2013
7,2015,183,868,2012
31,2015,183,183,2014
11,2015,183,183,2012
21,2016,183,183,2013
50,2016,183,183,2015
9,2016,183,183,2012
37,2016,183,183,2014
19,2016,183,183,2016
6,2017,183,868,2012
19,2017,183,183,2017
5,2017,183,183,2011
18,2017,183,183,2013
64,2017,183,183,2015
35,2017,183,183,2014
48,2017,183,183,2016
7,2017,183,868,2014
5,2017,183,868,2015
8,2017,183,183,2012
54,2018,183,183,2015
9,2018,183,183,2012
17,2018,183,183,2013
58,2018,183,183,2016
5,2018,183,868,2014
25,2018,183,183,2018
26,2018,183,183,2014
49,2018,183,183,2017
6,2018,183,868,2016
76,2019,183,183,2018
13,2019,183,183,2013
22,2019,183,183,2014
48,2019,183,183,2016
5,2019,183,183,2011
39,2019,183,183,2019
8,2019,183,183,2012
66,2019,183,183,2017
5,2019,183,868,2015
46,2019,183,183,2015
40,2020,183,183,2015
58,2020,183,183,2017
76,2020,183,183,2018
37,2020,183,183,2016
20,2020,183,183,2014
5,2020,183,2381,2017
5,2020,183,183,2021
5,2020,183,2381,2018
76,2020,183,183,2019
9,2020,183,183,2013
37,2020,183,183,2020
31,2021,183,183,2016
37,2021,183,183,2017
66,2021,183,183,2018
98,2021,183,183,2019
5,2021,183,8919,2019
22,2021,183,183,2021
27,2021,183,183,2015
5,2021,183,183,2013
67,2021,183,183,2020
10,2021,183,183,2014
5,2018,187,187,2017
5,2019,187,187,2018
6,2019,187,187,2017
11,2020,187,187,2019
6,2020,187,187,2018
13,2021,187,187,2020
15,2021,187,187,2019
6,2021,187,187,2021
8,2021,187,187,2018
6,2018,214,214,2017
5,2019,214,5136,2018
10,2019,214,214,2017
6,2019,214,214,2019
13,2019,214,214,2018
22,2020,214,214,2019
9,2020,214,214,2017
6,2020,214,214,2020
13,2020,214,214,2018
6,2020,214,2381,2019
5,2021,214,1149,2020
30,2021,214,214,2020
7,2021,214,5109,2017
7,2021,214,214,2017
7,2021,214,214,2021
5,2021,214,2381,2016
24,2021,214,214,2019
7,2021,214,2381,2017
12,2021,214,214,2018
6,2021,214,32237,2019
6,2013,222,222,2013
5,2013,222,222,2012
5,2013,222,222,2011
6,2014,222,222,2011
6,2014,222,222,2012
6,2014,222,222,2013
7,2015,222,222,2011
6,2015,222,222,2014
7,2015,222,222,2013
7,2016,222,222,2012
5,2016,222,222,2015
5,2016,222,222,2011
5,2016,222,222,2013
7,2017,222,222,2013
